,tradeDate,tradeVol,closeIndex
0,2010-01-04,827.0,3243.76
1,2010-01-05,953.66,3282.179
2,2010-01-06,1699.36,3254.215
3,2010-01-07,800.0,3192.776
4,2010-01-08,750.0,3195.9970000000003
5,2010-01-11,1392.57,3212.75
6,2010-01-12,518.0,3273.966
7,2010-01-13,1607.64,3172.658
8,2010-01-14,481.0,3215.55
9,2010-01-15,240.0,3224.152
10,2010-01-18,183.0,3237.098
11,2010-01-19,1425.6,3246.8740000000003
12,2010-01-20,475.0,3151.85
13,2010-01-21,745.91,3158.863
14,2010-01-22,50.0,3128.5879999999997
15,2010-01-25,146.7,3094.4109999999996
16,2010-01-27,1419.5,2986.607
17,2010-01-28,1097.46,2994.143
18,2010-01-29,775.76,2989.292
19,2010-02-01,160.0,2941.36
20,2010-02-02,100.0,2934.7129999999997
21,2010-02-03,157.0,3003.835
22,2010-02-04,304.46,2995.308
23,2010-02-05,186.76,2939.402
24,2010-02-08,695.0,2935.1740000000004
25,2010-02-09,26.27,2948.842
26,2010-02-10,100.0,2982.5
27,2010-02-11,224.68,2985.4990000000003
28,2010-02-12,339.3,3018.133
29,2010-02-22,150.0,3003.3979999999997
30,2010-02-24,1510.0,3022.177
31,2010-02-25,2070.0,3060.618
32,2010-02-26,180.0,3051.9429999999998
33,2010-03-02,353.0,3073.1079999999997
34,2010-03-03,191.0,3097.005
35,2010-03-04,42.09,3023.373
36,2010-03-05,215.19,3031.065
37,2010-03-08,2585.0,3053.232
38,2010-03-09,150.0,3069.1409999999996
39,2010-03-10,300.0,3048.927
40,2010-03-11,659.0,3051.282
41,2010-03-15,183.67,2976.9390000000003
42,2010-03-16,116.5,2992.841
43,2010-03-17,1830.0,3050.4790000000003
44,2010-03-18,34.19,3046.0890000000004
45,2010-03-19,942.5799999999999,3067.75
46,2010-03-23,1100.0,3053.125
47,2010-03-24,197.67,3056.808
48,2010-03-25,57.0,3019.176
49,2010-03-26,818.0,3059.715
50,2010-03-29,1555.3,3123.798
51,2010-03-31,595.0,3109.105
52,2010-04-01,20.0,3147.4159999999997
53,2010-04-06,480.0,3158.6809999999996
54,2010-04-07,755.74,3148.222
55,2010-04-12,701.0,3129.263
56,2010-04-13,1167.23,3161.2509999999997
57,2010-04-15,955.0,3164.966
58,2010-04-19,585.0,2980.297
59,2010-04-20,1229.0,2979.533
60,2010-04-21,255.0,3033.278
61,2010-04-22,50.0,2999.4840000000004
62,2010-04-23,700.0,2983.5370000000003
63,2010-04-26,791.16,2969.5029999999997
64,2010-04-28,1300.0,2900.3309999999997
65,2010-04-29,337.29,2868.4320000000002
66,2010-04-30,3495.4399999999996,2870.611
67,2010-05-04,683.58,2835.277
