,tradeDate,专业技术服务业,专用设备制造业,互联网和相关服务,仓储业,仪器仪表制造业,住宿业,保险业,公共设施管理业,其他制造业,其他金融业,农、林、牧、渔服务业,农业,农副食品加工业,化学原料和化学制品制造业,化学纤维制造业,医药制造业,卫生,印刷和记录媒介复制业,商务服务业,土木工程建筑业,家具制造业,广播、电视、电影和影视录音制作业,废弃资源综合利用业,建筑装饰和其他建筑业,开采辅助活动,房地产业,房屋建筑业,批发业,教育,文化艺术业,文教、工美、体育和娱乐用品制造业,新闻和出版业,有色金属冶炼和压延加工业,有色金属矿采选业,木材加工和木、竹、藤、棕、草制品业,林业,橡胶和塑料制品业,水上运输业,水的生产和供应业,汽车制造业,渔业,煤炭开采和洗选业,燃气生产和供应业,生态保护和环境治理业,电信、广播电视和卫星传输服务,电力、热力生产和供应业,电气机械和器材制造业,畜牧业,皮革、毛皮、羽毛及其制品和制鞋业,石油加工、炼焦和核燃料加工业,石油和天然气开采业,研究和试验发展,租赁业,纺织业,纺织服装、服饰业,综合,航空运输业,装卸搬运和运输代理业,计算机、通信和其他电子设备制造业,货币金融服务,资本市场服务,软件和信息技术服务业,通用设备制造业,造纸和纸制品业,道路运输业,酒、饮料和精制茶制造业,金属制品业,铁路、船舶、航空航天和其他运输设备制造业,铁路运输业,零售业,非金属矿物制品业,食品制造业,餐饮业,黑色金属冶炼和压延加工业,黑色金属矿采选业
0,2015-10-13,-129701026.862,-620307098.353,-766455075.558,328850132.257,-34292842.931,14862077.717,-432711721.157,228175886.844,422828495.703,293320644.32,-11623260.347,67216446.063,-99968019.471,206527016.775,74879287.757,-1401545081.44,,36188199.15,-276373083.168,-638178594.908,-3633683.458,-108477493.958,27971115.66,1681729.791,-112566344.737,-287442217.436,40529822.86,87678366.631,,-86583824.11,328977994.977,-208724287.453,-521021316.045,-887671274.978,-48453004.68,205008854.247,-161707401.615,1000164001.01,-111975858.351,-487665150.613,-15869899.376,-459620193.618,138102697.222,6586316.865,-225623719.722,-1053446505.58,1585138954.03,-83180424.987,-52925420.368,-104188120.209,-272064329.07,-1932719.978,-35167533.3,188319962.304,54601540.494,-24060098.479,458461040.55,11562321.64,726915802.55,-862637550.583,-1878393720.6,2298323491.35,1163286039.62,42743065.651,797612677.949,-104176946.282,121934859.25,286716034.838,-88563618.097,1524269641.9,866487929.015,51439504.727,-50767568.654,-452489874.243,59116307.167
1,2015-10-14,-86783486.471,-4913601472.34,-1134390707.78,183666601.459,-415889160.769,-18475764.879,-504479832.756,-432295253.583,-142822046.93,-428995103.997,-17769837.472,-1171285435.55,-779124533.521,-2085079811.6,-257702503.559,-3506934303.36,,-168953427.062,-347565789.004,-375649483.662,-411371640.748,-597435294.665,-67321103.09,-608956850.28,-216131498.367,-2634966586.81,-24914457.483,-2564892857.51,,-151832778.234,-243608559.972,-650646629.55,-28373104.784,-11584596.268,-175531122.784,-148892265.738,-1253153845.17,-552638833.918,-410170634.745,-3499550274.08,-126530165.712,166114732.458,-430176355.728,-382614613.49,-338103749.525,-2828246147.86,-3067786490.11,-287708551.496,-75961849.325,42323664.004,-78449944.13,-50818610.816,-61855489.107,-185293231.055,-1625328683.14,-440198178.013,-691217278.835,-26758320.377,-4385472466.53,-1094324167.75,-974950514.712,-5092233675.1,-1414426163.11,-310391332.711,-1474273394.56,-587445434.776,-962040211.654,-1496067203.89,-55892210.141,-2240021463.63,-1343285955.39,-1810067247.9,-87035225.207,668075655.205,-33571716.814
2,2015-10-15,385823516.102,3443140219.11,3482762103.3,264113786.863,6232776.723,83358296.349,370478233.562,283078522.982,237203872.225,327035555.928,-20514386.587,57811533.68,1754916344.22,3919872094.14,740584057.73,4106137437.64,,482883581.354,837498269.27,1552983494.38,125228750.514,303938141.132,36411008.4,495345121.833,194620841.685,4577386764.37,21097791.983,2690732652.73,,164013487.843,205513118.268,648170280.351,772439163.924,303221114.865,-20040153.6,364800304.886,1445507871.77,996453276.538,472649282.478,2340113617.77,146936920.381,1633510013.91,239330098.999,431952632.292,1239540266.29,4353038065.97,3667413959.22,99675026.767,396054720.954,439456643.575,291633567.003,-3161719036.49,14140004.64,849639291.498,1593062087.2,1178508540.49,690846364.783,-5767306.897,9931377973.04,1493109532.52,2454968979.58,8845304801.18,1884953660.32,1219185324.93,1492345404.73,516454253.257,1168273699.62,2891689309.85,134307939.659,3231679407.87,1891722271.35,262514927.132,79263410.142,546674546.743,80074520.675
3,2015-10-16,-10179517.877,-404570612.504,2533140390.91,56482550.427,-421785780.841,60783388.634,329445683.252,-66807398.321,-244907924.512,872417673.815,1651089.52,-477168925.894,308754530.749,59052283.922,-141596568.01,-1554446605.28,-62769007.966,848537988.311,-585618411.331,1057033540.43,-284145881.954,155456890.873,-13165683.479,-291879879.208,443684974.203,3677031576.34,-18448334.867,1187732116.72,,7828259.204,,244371665.991,194748145.469,-350159347.542,-129201124.431,-25071529.493,-347246333.762,567444815.535,1870999921.68,-556407675.156,-64203136.364,385596975.448,163087536.605,-35621411.748,219310579.524,-1157445531.91,-1145397716.02,-126458198.146,8966103.845,146939003.72,487237858.009,-282462994.836,113413892.52,602814786.453,-169276986.463,527467801.115,1243097197.96,4470422.299,-2679327058.66,277041902.868,1387210527.56,-519413185.314,-262105520.656,98890352.126,1223892019.82,-189188087.194,-134620550.901,1340537932.49,-61397199.063,2411347281.65,931785685.263,-280415781.842,-29001484.317,434688386.853,-136730773.378
4,2015-10-19,-371385075.107,-4701729357.06,-966397058.206,-559382972.684,179022279.465,41784419.22,117111798.348,155830463.968,-252977541.87,-338155781.726,-18309824.743,-568202359.172,-786752070.816,-3306113802.01,-145282538.713,-3619553677.97,,-170235102.512,-630384046.442,-1922773330.42,-8108181.136,-2116692.238,-28043948.465,151558165.958,-231421119.556,-3380064971.41,36718570.465,1011499482.29,,-50054576.773,648712016.79,139897164.358,-1006456408.1,-381377692.005,-133914998.922,98262801.644,-683920263.091,-678589041.523,601278900.907,3650349664.5,-152765133.664,-170254600.718,-710271218.199,-221252094.484,-449414897.56,-2192926609.18,-1871540067.43,-296044198.891,-87172339.793,-217180679.112,-294408929.057,-166895689.276,-96314138.563,1090862134.3,254635126.883,-229721393.716,-91340444.216,4981288.133,-2933764634.71,-929260917.037,2411438100.46,-5601368597.8,-2802410700.34,-490088686.341,-1974294808.73,-349928797.272,171212405.387,-3148076160.54,-260113031.881,-2641263113.02,-3709379718.09,-371755560.759,504481565.427,-736770333.222,16315390.109
5,2015-10-20,88274596.575,2733942823.58,1973091742.26,384873274.579,474810592.358,-27451901.432,-604315687.15,-339536477.141,-51780709.547,24923191.627,15080025.637,103434041.852,347665836.788,1123502496.29,-214892999.159,502649623.523,,-29492949.374,2046209243.78,992446984.632,141437073.228,550542671.733,-22149621.71,12857927.068,-104101583.52,-1526616571.49,2557586.181,-437498281.793,,22263051.721,93838087.612,-136722584.357,-549011772.142,-380376247.487,-244645056.621,-2459149.874,-347165472.653,-104092855.326,-634559525.206,-1694033434.8,43784104.454,-303334556.282,121554026.342,-231679610.555,52567244.559,2562652147.96,500124926.583,31434870.5,81309536.561,-36234369.8,12414811.707,69216993.129,50051257.08,-33939408.861,-169596448.22,285474632.312,70668514.1,-17266437.147,5971189080.89,-1144584238.42,-95789545.474,9122178704.16,1181412531.85,561345648.893,1106539118.46,112020684.53,345741104.322,1265329704.44,-68142990.087,5936300536.21,-1597495738.42,-867816783.677,-2143333.225,-11027587.221,-109391799.988
6,2015-10-21,-459670801.352,-10155939208.6,-4455657555.87,-920106691.364,-1466784635.3,-110580048.518,750850012.981,-663525857.549,47733479.782,-706759365.256,-60456431.415,-1657680359.44,-1234913490.86,-10394825765.4,-1784177226.93,-4171552446.97,,-654136217.91,-2203484974.9,-1013978302.37,-765209064.362,-1655122774.53,-111959860.114,-895956821.839,167644749.586,-7116904075.91,-94521175.109,-2985863919.62,,-168419917.19,87649743.733,-1383317281.02,-3683193127.93,-3189052582.14,441326004.734,-568682331.337,-3887935092.91,-1318866621.28,-1306042238.34,-7826363209.85,-313915239.095,-2021795292.8,-795855342.056,-979346497.108,-1150764310.67,-3658542071.66,-11884689199.0,-543573254.399,-324550033.299,-1275236319.68,145574428.373,-116673774.06,-125761808.913,-1612698673.79,-1476738493.42,-1576435650.52,-1624085075.1,-91563910.913,-20498118194.0,3753017748.25,-2869201404.93,-14035558135.5,-7623399935.87,-831299406.868,-3296554004.02,-1442934863.24,-3017984395.7,-3310348754.04,-197298198.193,-6190737462.91,-5340790158.86,-2077926253.69,-243667331.863,-1406164443.05,-457906489.514
7,2015-10-22,281561937.98,3686713682.85,2161123089.11,171793897.343,449031268.545,331013269.839,-573146482.214,-5235134.965,498875283.564,-240965899.197,-10687636.973,-58078863.319,541718550.434,2624302175.91,383457444.369,5519786934.42,,111896514.282,1022312577.89,-979671817.456,-72739081.922,-141560604.374,-8768427.517,24330021.619,213384968.608,5501166439.43,-14662215.759,2121752772.14,,903715.684,285715372.121,44330941.876,1610507732.5,-191385741.645,560770930.33,97645943.539,617169158.768,786184058.252,115233898.132,304635543.792,36500089.955,595432860.943,77431703.63,198903414.501,234009819.253,1035734887.23,2337810567.94,-52484949.963,952250.057,71457668.09,-150684067.27,322647257.151,-32788917.781,1092610586.9,1108588531.2,1320867086.47,1215029415.35,12768670.223,4974192720.94,-660966261.058,-791936675.217,5613798614.52,2439206723.25,453300147.393,1028371230.52,126577057.322,173474937.451,848452704.339,-44751298.759,4359055989.46,1438021962.79,167112559.069,50903389.811,-255101752.65,-42339893.406
8,2015-10-23,203149889.969,4102770591.73,522312180.54,177512057.495,812222128.439,4014920.034,613552742.618,299361719.218,-298417767.802,-31545193.341,25974965.917,45506678.189,-45475246.473,3769343370.03,855405391.722,5844240012.82,,87054318.173,-4350065474.18,369202465.858,-12869872.828,-263542841.422,25697457.126,151791471.299,359351766.654,6392402206.21,1270347.213,1985473757.19,,44123986.224,456650406.324,473748077.182,2405987534.04,766740821.454,283464088.376,-30440919.1,496576038.388,810412349.02,230523362.793,26007990.259,277089829.793,21222065.583,1416004227.23,629030869.266,-384659449.314,183381586.377,3650196604.89,50552313.041,165447541.24,353697084.138,-210373598.53,10967675.341,72909067.26,1204895570.12,-314163389.584,708184108.359,-396047308.318,17508302.04,5373593149.58,-1194909512.05,646395836.473,3433447887.89,2260742847.71,296516885.834,610195065.568,273305616.651,437004903.965,539135362.836,-35069482.883,1232890585.13,1806525559.42,881613687.563,118707217.028,503421164.681,60518949.941
9,2015-10-26,-89181052.993,959356908.3,-2247441381.45,-158743792.629,630125103.5,-122930695.222,349975094.969,-175314986.973,-383078392.608,-143715957.982,-2321853.553,198596540.899,-801583175.53,943959449.487,-201576554.737,-2713615368.07,,-131916539.323,-684085377.268,-689211621.737,135485631.263,-1122102300.89,3132561.74,178639604.907,-355983773.986,-4876765273.6,-54979318.973,-1784296067.61,,14513690.855,-358806918.042,-573470216.577,-307575170.327,-56100720.715,853665229.524,637674471.023,-229515962.786,1161938942.69,-668678062.059,4945840425.66,-84238596.623,-916005151.55,6293400.449,-421090804.473,-787564061.679,-2902111688.86,-475476639.376,113871312.252,45817467.358,-194763568.819,-19924514.223,-296057271.778,-60321495.58,-548596164.492,-750952118.238,-586076038.334,-984581943.2,-29527031.67,123979650.817,-494863363.66,858024952.347,-326682128.85,663781783.501,41266434.787,-1452368616.17,234451810.819,-1339200992.91,128687914.609,62092510.817,-3483114512.81,-1955428013.05,-1046848312.41,-99031799.768,-780952690.153,-20330308.915
